GeneName	RefSeq_Summary
LOC112323373	uncharacterized mitochondrial protein AtMg00810-like	uncharacterized mitochondrial protein AtMg00810-like
LOC112323374	calcium-binding protein CML38	calcium-binding protein CML38
LOC112323375	uncharacterized LOC112323375	uncharacterized LOC112323375
LOC112323376	uncharacterized mitochondrial protein AtMg00810-like	uncharacterized mitochondrial protein AtMg00810-like
LOC112323377	cysteine-rich repeat secretory protein 38-like	cysteine-rich repeat secretory protein 38-like
LOC112323378	uncharacterized Mb2253c-like	uncharacterized Mb2253c-like
LOC112323379	G-type lectin S-receptor-like serine/threonine-protein kinase B120	G-type lectin S-receptor-like serine/threonine-protein kinase B120
LOC112323380	F-box protein At3g07870-like	F-box protein At3g07870-like
LOC112323381	G-type lectin S-receptor-like serine/threonine-protein kinase At1g11330	G-type lectin S-receptor-like serine/threonine-protein kinase At1g11330
LOC112323382	G-type lectin S-receptor-like serine/threonine-protein kinase At1g11330	G-type lectin S-receptor-like serine/threonine-protein kinase At1g11330
LOC112323383	uncharacterized LOC112323383	uncharacterized LOC112323383
LOC112323384	uncharacterized LOC112323384	uncharacterized LOC112323384
LOC112323385	uncharacterized LOC112323385	uncharacterized LOC112323385
LOC112323386	uncharacterized LOC112323386	uncharacterized LOC112323386
LOC112323387	uncharacterized LOC112323387	uncharacterized LOC112323387
LOC112323389	uncharacterized LOC112323389	uncharacterized LOC112323389
LOC112323390	uncharacterized LOC112323390	uncharacterized LOC112323390
LOC112323391	probable LRR receptor-like serine/threonine-protein kinase At1g29720	probable LRR receptor-like serine/threonine-protein kinase At1g29720
LOC112323392	uncharacterized LOC112323392	uncharacterized LOC112323392
LOC112323393	uncharacterized LOC112323393	uncharacterized LOC112323393
LOC112323394	uncharacterized LOC112323394	uncharacterized LOC112323394
LOC112323396	G-type lectin S-receptor-like serine/threonine-protein kinase B120	G-type lectin S-receptor-like serine/threonine-protein kinase B120
LOC112323397	28 kDa heat- and acid-stable phosphoprotein-like	28 kDa heat- and acid-stable phosphoprotein-like
LOC112323398	receptor-like protein Cf-9 homolog	receptor-like protein Cf-9 homolog
LOC112323399	receptor-like protein Cf-9	receptor-like protein Cf-9
LOC112323400	pyruvate decarboxylase 1	pyruvate decarboxylase 1
LOC112323401	alpha-glucosidase-like	alpha-glucosidase-like
LOC112323402	universal stress protein PHOS32-like	universal stress protein PHOS32-like
LOC112323403	TMV resistance protein N-like	TMV resistance protein N-like
LOC112323404	TMV resistance protein N-like	TMV resistance protein N-like
LOC112323406	uncharacterized LOC112323406	uncharacterized LOC112323406
LOC112323407	uncharacterized LOC112323407	uncharacterized LOC112323407
LOC112323408	TMV resistance protein N-like	TMV resistance protein N-like
LOC112323409	uncharacterized LOC112323409	uncharacterized LOC112323409
LOC112323410	uncharacterized LOC112323410	uncharacterized LOC112323410
LOC112323411	G-type lectin S-receptor-like serine/threonine-protein kinase At4g27290	G-type lectin S-receptor-like serine/threonine-protein kinase At4g27290
LOC112323412	uncharacterized LOC112323412	uncharacterized LOC112323412
LOC112323413	uncharacterized LOC112323413	uncharacterized LOC112323413
LOC112323414	uncharacterized LOC112323414	uncharacterized LOC112323414
LOC112323415	uncharacterized LOC112323415	uncharacterized LOC112323415
LOC112323416	premnaspirodiene oxygenase-like	premnaspirodiene oxygenase-like
LOC112323417	probable LRR receptor-like serine/threonine-protein kinase RFK1	probable LRR receptor-like serine/threonine-protein kinase RFK1
LOC112323418	uncharacterized LOC112323418	uncharacterized LOC112323418
LOC112323419	uncharacterized LOC112323419	uncharacterized LOC112323419
LOC112323420	uncharacterized LOC112323420	uncharacterized LOC112323420
LOC112323421	uncharacterized LOC112323421	uncharacterized LOC112323421
LOC112323422	uncharacterized LOC112323422	uncharacterized LOC112323422
LOC112323423	uncharacterized LOC112323423	uncharacterized LOC112323423
LOC112323424	G-type lectin S-receptor-like serine/threonine-protein kinase At4g27290	G-type lectin S-receptor-like serine/threonine-protein kinase At4g27290
LOC112323426	uncharacterized LOC112323426	uncharacterized LOC112323426
LOC112323427	U-box domain-containing protein 8-like	U-box domain-containing protein 8-like
LOC112323428	uncharacterized LOC112323428	uncharacterized LOC112323428
LOC112323429	uncharacterized LOC112323429	uncharacterized LOC112323429
LOC112323430	uncharacterized LOC112323430	uncharacterized LOC112323430
LOC112323431	uncharacterized LOC112323431	uncharacterized LOC112323431
LOC112323432	uncharacterized LOC112323432	uncharacterized LOC112323432
LOC112323433	uncharacterized LOC112323433	uncharacterized LOC112323433
LOC112323434	small nucleolar RNA Z195/SNORD33/SNORD32 family	small nucleolar RNA Z195/SNORD33/SNORD32 family
LOC112323435	small nucleolar RNA Z195/SNORD33/SNORD32 family	small nucleolar RNA Z195/SNORD33/SNORD32 family
LOC112323436	small nucleolar RNA Z196/R39/R59 family	small nucleolar RNA Z196/R39/R59 family
LOC112323437	small nucleolar RNA Z196/R39/R59 family	small nucleolar RNA Z196/R39/R59 family
LOC112323438	small nucleolar RNA J33	small nucleolar RNA J33
LOC112323439	small nucleolar RNA Z247	small nucleolar RNA Z247
LOC112323440	small nucleolar RNA F1/F2/snoR5a	small nucleolar RNA F1/F2/snoR5a
LOC112323441	small nucleolar RNA snoR109	small nucleolar RNA snoR109
LOC112323442	small nucleolar RNA snoR111	small nucleolar RNA snoR111
LOC112323443	small nucleolar RNA U31b	small nucleolar RNA U31b
LOC112323444	U6 spliceosomal RNA	U6 spliceosomal RNA
LOC112323445	small nucleolar RNA U31b	small nucleolar RNA U31b
LOC112323446	U6 spliceosomal RNA	U6 spliceosomal RNA
LOC112323447	small nucleolar RNA R71	small nucleolar RNA R71
LOC112323477	uncharacterized LOC112323477	uncharacterized LOC112323477
LOC112323478	uncharacterized LOC112323478	uncharacterized LOC112323478
LOC112323479	uncharacterized LOC112323479	uncharacterized LOC112323479
LOC112323480	AP-1 complex subunit sigma-1-like	AP-1 complex subunit sigma-1-like
LOC112323481	uncharacterized LOC112323481	uncharacterized LOC112323481
LOC112323482	uncharacterized LOC112323482	uncharacterized LOC112323482
LOC112323483	uncharacterized LOC112323483	uncharacterized LOC112323483
LOC112323484	uncharacterized LOC112323484	uncharacterized LOC112323484
LOC112323486	uncharacterized LOC112323486	uncharacterized LOC112323486
LOC112323487	uncharacterized LOC112323487	uncharacterized LOC112323487
LOC112323488	uncharacterized LOC112323488	uncharacterized LOC112323488
LOC112323489	uncharacterized LOC112323489	uncharacterized LOC112323489
LOC112323490	uncharacterized LOC112323490	uncharacterized LOC112323490
LOC112323491	uncharacterized LOC112323491	uncharacterized LOC112323491
LOC112323492	uncharacterized LOC112323492	uncharacterized LOC112323492
LOC112323493	uncharacterized LOC112323493	uncharacterized LOC112323493
LOC112323494	uncharacterized LOC112323494	uncharacterized LOC112323494
LOC112323495	uncharacterized LOC112323495	uncharacterized LOC112323495
LOC112323496	uncharacterized LOC112323496	uncharacterized LOC112323496
LOC112323497	uncharacterized LOC112323497	uncharacterized LOC112323497
LOC112323498	uncharacterized LOC112323498	uncharacterized LOC112323498
LOC112323499	uncharacterized LOC112323499	uncharacterized LOC112323499
LOC112323500	uncharacterized LOC112323500	uncharacterized LOC112323500
LOC112323501	uncharacterized LOC112323501	uncharacterized LOC112323501
LOC112323502	uncharacterized LOC112323502	uncharacterized LOC112323502
LOC112323503	uncharacterized mitochondrial protein AtMg00810-like	uncharacterized mitochondrial protein AtMg00810-like
LOC112323504	uncharacterized LOC112323504	uncharacterized LOC112323504
LOC112323505	uncharacterized LOC112323505	uncharacterized LOC112323505
LOC112323506	receptor-like protein 9DC3	receptor-like protein 9DC3
LOC112323507	uncharacterized LOC112323507	uncharacterized LOC112323507
LOC112323509	uncharacterized LOC112323509	uncharacterized LOC112323509
LOC112323510	protein BASIC PENTACYSTEINE2-like	protein BASIC PENTACYSTEINE2-like
LOC112323511	uncharacterized LOC112323511	uncharacterized LOC112323511
LOC112323512	uncharacterized LOC112323512	uncharacterized LOC112323512
LOC112323513	uncharacterized LOC112323513	uncharacterized LOC112323513
LOC112323514	uncharacterized LOC112323514	uncharacterized LOC112323514
LOC112323515	putative glycine-rich cell wall structural protein 1	putative glycine-rich cell wall structural protein 1
LOC112323516	uncharacterized LOC112323516	uncharacterized LOC112323516
LOC112323517	UNC93-like protein 1	UNC93-like protein 1
LOC112323518	extensin-2-like	extensin-2-like
LOC112323519	uncharacterized LOC112323519	uncharacterized LOC112323519
LOC112323520	glycine-rich cell wall structural protein-like	glycine-rich cell wall structural protein-like
LOC112323521	uncharacterized LOC112323521	uncharacterized LOC112323521
LOC112323522	glycine-rich protein 23-like	glycine-rich protein 23-like
LOC112323523	uncharacterized LOC112323523	uncharacterized LOC112323523
LOC112323524	protein BASIC PENTACYSTEINE2-like	protein BASIC PENTACYSTEINE2-like
LOC112323525	glycine-rich protein 5-like	glycine-rich protein 5-like
LOC112323526	uncharacterized LOC112323526	uncharacterized LOC112323526
LOC112323527	uncharacterized LOC112323527	uncharacterized LOC112323527
LOC112323528	protein BASIC PENTACYSTEINE2-like	protein BASIC PENTACYSTEINE2-like
LOC112323529	endoglucanase E1-like	endoglucanase E1-like
LOC112323530	uncharacterized LOC112323530	uncharacterized LOC112323530
LOC112323531	uncharacterized LOC112323531	uncharacterized LOC112323531
LOC112323532	endonuclease MutS2-like	endonuclease MutS2-like
LOC112323533	probable pectate lyase 18	probable pectate lyase 18
LOC112323534	hydroxymethylglutaryl-CoA lyase, mitochondrial-like	hydroxymethylglutaryl-CoA lyase, mitochondrial-like
LOC112323535	uncharacterized LOC112323535	uncharacterized LOC112323535
LOC112323536	zinc finger protein 862-like	zinc finger protein 862-like
LOC112323537	uncharacterized LOC112323537	uncharacterized LOC112323537
LOC112323540	protein STICHEL-like 2	protein STICHEL-like 2
LOC112323541	uncharacterized At1g28695-like	uncharacterized At1g28695-like
LOC112323543	uncharacterized LOC112323543	uncharacterized LOC112323543
LOC112323544	uncharacterized LOC112323544	uncharacterized LOC112323544
LOC112323546	taxoid 7-beta-hydroxylase-like	taxoid 7-beta-hydroxylase-like
LOC112323547	protein ROOT HAIR DEFECTIVE 3 homolog 1-like	protein ROOT HAIR DEFECTIVE 3 homolog 1-like
LOC112323549	putative disease resistance protein RGA4	putative disease resistance protein RGA4
LOC112323550	uncharacterized LOC112323550	uncharacterized LOC112323550
LOC112323551	protein PHLOEM PROTEIN 2-LIKE A9-like	protein PHLOEM PROTEIN 2-LIKE A9-like
LOC112323552	protein DETOXIFICATION 16-like	protein DETOXIFICATION 16-like
LOC112323553	AAA-ATPase At2g46620-like	AAA-ATPase At2g46620-like
LOC112323554	uncharacterized LOC112323554	uncharacterized LOC112323554
LOC112323555	putative glycine-rich cell wall structural protein 1	putative glycine-rich cell wall structural protein 1
LOC112323556	cytochrome P450 71D11-like	cytochrome P450 71D11-like
LOC112323557	uncharacterized LOC112323557	uncharacterized LOC112323557
LOC112323558	uncharacterized LOC112323558	uncharacterized LOC112323558
LOC112323559	uncharacterized LOC112323559	uncharacterized LOC112323559
LOC112323561	uncharacterized LOC112323561	uncharacterized LOC112323561
LOC112323562	uncharacterized LOC112323562	uncharacterized LOC112323562
LOC112323563	uncharacterized LOC112323563	uncharacterized LOC112323563
LOC112323565	uncharacterized LOC112323565	uncharacterized LOC112323565
LOC112323566	uncharacterized LOC112323566	uncharacterized LOC112323566
LOC112323567	uncharacterized LOC112323567	uncharacterized LOC112323567
LOC112323568	keratin-associated protein 21-1-like	keratin-associated protein 21-1-like
LOC112323569	uncharacterized LOC112323569	uncharacterized LOC112323569
LOC112323570	60S ribosomal protein L24-like	60S ribosomal protein L24-like
LOC112323571	GDSL esterase/lipase At1g29670-like	GDSL esterase/lipase At1g29670-like
LOC112323572	uncharacterized LOC112323572	uncharacterized LOC112323572
LOC112323573	uncharacterized LOC112323573	uncharacterized LOC112323573
LOC112323574	uncharacterized LOC112323574	uncharacterized LOC112323574
LOC112323575	uncharacterized LOC112323575	uncharacterized LOC112323575
LOC112323576	receptor-like protein Cf-9 homolog	receptor-like protein Cf-9 homolog
LOC112323577	rhodanese-like domain-containing protein 14, chloroplastic	rhodanese-like domain-containing protein 14, chloroplastic
LOC112323578	uncharacterized LOC112323578	uncharacterized LOC112323578
LOC112323579	receptor like protein 6-like	receptor like protein 6-like
LOC112323580	uncharacterized LOC112323580	uncharacterized LOC112323580
LOC112323581	uncharacterized LOC112323581	uncharacterized LOC112323581
LOC112323582	uncharacterized LOC112323582	uncharacterized LOC112323582
LOC112323583	uncharacterized LOC112323583	uncharacterized LOC112323583
LOC112323584	uncharacterized LOC112323584	uncharacterized LOC112323584
LOC112323585	uncharacterized LOC112323585	uncharacterized LOC112323585
LOC112323586	probable S-adenosylmethionine-dependent methyltransferase At5g37970	probable S-adenosylmethionine-dependent methyltransferase At5g37970
LOC112323587	uncharacterized LOC112323587	uncharacterized LOC112323587
LOC112323588	uncharacterized LOC112323588	uncharacterized LOC112323588
LOC112323589	probable glutathione S-transferase	probable glutathione S-transferase
LOC112323590	alpha-dioxygenase 2-like	alpha-dioxygenase 2-like
LOC112323591	uncharacterized LOC112323591	uncharacterized LOC112323591
LOC112323592	uncharacterized LOC112323592	uncharacterized LOC112323592
LOC112323593	uncharacterized LOC112323593	uncharacterized LOC112323593
LOC112323594	uncharacterized LOC112323594	uncharacterized LOC112323594
LOC112323595	uncharacterized LOC112323595	uncharacterized LOC112323595
LOC112323596	pectinesterase PPME1-like	pectinesterase PPME1-like
LOC112323597	cysteine-rich and transmembrane domain-containing protein WIH2-like	cysteine-rich and transmembrane domain-containing protein WIH2-like
LOC112323598	leucine-rich repeat extensin-like protein 3	leucine-rich repeat extensin-like protein 3
LOC112323599	leucine-rich repeat extensin-like protein 3	leucine-rich repeat extensin-like protein 3
LOC112323600	uncharacterized LOC112323600	uncharacterized LOC112323600
LOC112323601	uncharacterized LOC112323601	uncharacterized LOC112323601
LOC112323602	uncharacterized LOC112323602	uncharacterized LOC112323602
LOC112323603	uncharacterized LOC112323603	uncharacterized LOC112323603
LOC112323604	uncharacterized LOC112323604	uncharacterized LOC112323604
LOC112323605	transcription termination factor MTEF18, mitochondrial	transcription termination factor MTEF18, mitochondrial
LOC112323606	receptor-like protein 9DC3	receptor-like protein 9DC3
LOC112323607	receptor-like protein 9DC3	receptor-like protein 9DC3
LOC112323608	ATPase family AAA domain-containing protein 1-like	ATPase family AAA domain-containing protein 1-like
LOC112323609	uncharacterized LOC112323609	uncharacterized LOC112323609
LOC112323610	uncharacterized LOC112323610	uncharacterized LOC112323610
LOC112323611	uncharacterized LOC112323611	uncharacterized LOC112323611
LOC112323612	metacaspase-1-like	metacaspase-1-like
LOC112323613	uncharacterized LOC112323613	uncharacterized LOC112323613
LOC112323614	uncharacterized LOC112323614	uncharacterized LOC112323614
LOC112323615	uncharacterized LOC112323615	uncharacterized LOC112323615
LOC112323616	protein NBR1 homolog	protein NBR1 homolog
LOC112323617	uncharacterized LOC112323617	uncharacterized LOC112323617
LOC112323618	uncharacterized LOC112323618	uncharacterized LOC112323618
LOC112323619	uncharacterized LOC112323619	uncharacterized LOC112323619
LOC112323620	polyadenylate-binding protein 2-like	polyadenylate-binding protein 2-like
LOC112323621	uncharacterized LOC112323621	uncharacterized LOC112323621
LOC112323622	uncharacterized LOC112323622	uncharacterized LOC112323622
LOC112323623	uncharacterized LOC112323623	uncharacterized LOC112323623
LOC112323624	uncharacterized LOC112323624	uncharacterized LOC112323624
LOC112323625	uncharacterized LOC112323625	uncharacterized LOC112323625
